date,mandante_estadio
2019-07-30,Arena de Pernambuco
2019-08-02,Arena de Pernambuco
2019-08-17,Arena de Pernambuco
2022-05-24,Arena de Pernambuco
2022-06-14,Arena de Pernambuco
2022-06-30,Arena de Pernambuco
2022-08-13,Arena de Pernambuco
2024-04-26,Arena de Pernambuco
2024-05-11,Arena de Pernambuco
2024-05-18,Arena de Pernambuco
2024-06-10,Arena de Pernambuco
2024-06-16,Arena de Pernambuco
2024-06-24,Arena de Pernambuco
2024-07-13,Arena de Pernambuco
2024-07-27,Arena de Pernambuco
2024-08-10,Arena de Pernambuco
2024-08-22,Arena de Pernambuco
2024-09-02,Arena de Pernambuco
2024-09-15,Arena de Pernambuco
2024-09-18,Arena de Pernambuco
